"My Returns (RMA)","My Returns (RMA)"
"My Returns","My Returns"
"Track the status of your return requests","Track the status of your return requests"
"Request a Return","Request a Return"
"No return requests yet","No return requests yet"
"New Return Request","New Return Request"
"Select Order","Select Order"
"Eligible","Eligible"
"Select Items to Return","Select Items to Return"
"Loading order items...","Loading order items..."
"Qty to Return","Qty to Return"
"Return Reason","Return Reason"
"Select reason","Select reason"
"Item Condition","Item Condition"
"Select condition","Select condition"
"Resolution & Details","Resolution & Details"
"Desired Resolution","Desired Resolution"
"Additional Comments","Additional Comments"
"Attach Photos / Documents","Attach Photos / Documents"
"Submit Return Request","Submit Return Request"
"Return Status Updated","Return Status Updated"
"New","New"
"Pending Review","Pending Review"
"Approved","Approved"
"Rejected","Rejected"
"Item in Transit","Item in Transit"
"Item Received","Item Received"
"Resolved","Resolved"
"Closed","Closed"
"Cancelled","Cancelled"
"Refund","Refund"
"Exchange","Exchange"
"Repair","Repair"
"Store Voucher","Store Voucher"
"Returns (RMA)","Returns (RMA)"
"All Returns","All Returns"
"Return Reasons","Return Reasons"
"Item Conditions","Item Conditions"
"RMA","RMA"
"Create RMA","Create RMA"
